route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
61-VIC,4455,11087557:10000562:10049960,Sooke,39808,10049960,1
61-VIC,4450,11087557:10000562:10051222,Sooke,39808,10051222,1
25-VIC,4459,11324108:10000563:10051911,Tillicum Ctr via Munro,26113,10051911,1
14-VIC,4460,11329276:10000565:10050468,UVic via Richmond,26515,10050468,0
26-VIC,4430,11316423:10000566:10049821,UVic via Tillicum/McKenzie,31720,10049821,0
6-VIC,4445,11036073:10000567:10050279,Royal Oak Exch via Royal Oak Ctr,18715,10050279,0
25-VIC,4430,11318994:10000568:10050051,Maplewood via Cook North,40196,10050051,0
4-VIC,4461,11261436:10000573:10052837,UVic via Hillside,18645,10052837,0
28-VIC,4461,11260868:10000574:10049365,Downtown,36290,10049365,1
30-VIC,4446,11039448:10000575:11184303,Downtown,18838,11184303,1
25-VIC,4430,11319002:10000576:11184481,Maplewood via Cook North,34583,11184481,0
30-VIC,4462,11332818:10000580:10050295,Royal Oak Exch via Carey,18634,10050295,0
75-VIC,4461,11261531:10000581:10050294,Downtown - Keating Industrial,18820,10050294,1
2-VIC,4461,11261027:10000583:10049653,South Oak Bay,23427,10049653,0
30-VIC,4459,11324399:10000584:10049050,Royal Oak Exch via Carey,18634,10049050,0
14-VIC,4459,11324561:10000585:10051388,Vic General via Craigflower,40195,10051388,1
32-VIC,3240,11314728:10000586:11184687,Cordova Bay,18608,11184687,0
59-VIC,3240,11315080:10000589:11025805,Royal Bay Exch via Triangle Mtn,18872,11025805,1
72-VIC,4430,11316016:10000590:10795827,Downtown via Saanichton,18716,10795827,1
6-VIC,4445,11036089:10000591:10051638,Downtown,18962,10051638,1
6A-VIC,3240,11313907:10000593:10052223,Downtown via Emily Carr,21741,10052223,1
6-VIC,4457,11321604:10000594:10052747,Royal Oak Exch via Royal Oak Ctr,18715,10052747,0
2-VIC,4461,11261075:10000595:10049249,South Oak Bay,23427,10049249,0
2-VIC,3240,11313707:10000596:10052380,South Oak Bay,23427,10052380,0
22-VIC,4439,11028806:10000597:11026265,Vic General via Hastings,36320,11026265,0
22-VIC,4444,11028806:10000597:11026421,Vic General via Hastings,36320,11026421,0
6-VIC,4450,11085254:10000601:10049702,Downtown,18962,10049702,1
6-VIC,4455,11085254:10000601:10051947,Downtown,18962,10051947,1
15-VIC,4444,11001719:10000602:11184192,UVic - Fort/Foul Bay Express,19054,11184192,0
15-VIC,4439,11001719:10000602:11184573,UVic - Fort/Foul Bay Express,19054,11184573,0
26-VIC,4445,11036800:10000603:10048873,Dockyard via McKenzie/Tillicum,40061,10048873,1
95-VIC,3240,11313400:10000605:10051724,Blink - to Downtown,18717,10051724,0
4-VIC,4445,11036273:10000608:11184274,Downtown via Hillside,26927,11184274,1
95-VIC,4446,11038835:10000610:10049958,Blink - to Langford,18836,10049958,1
6-VIC,4439,11064721:10000611:10049543,Downtown,18962,10049543,1
6-VIC,4444,11064721:10000611:10052420,Downtown,18962,10052420,1
6-VIC,4459,11324228:10000613:10051048,Royal Oak Exch via Royal Oak Ctr,18715,10051048,0
27-VIC,4445,11035691:10000614:10050579,Downtown,36309,10050579,1
32-VIC,4457,11322642:10000616:11184152,Cordova Bay,18608,11184152,0
70-VIC,4445,11035346:10000619:10796246,Downtown via Hwy 17,18849,10796246,1
6-VIC,4450,11085223:10000621:10049453,Royal Oak Exch via Royal Oak Ctr,18715,10049453,0
6-VIC,4455,11085223:10000621:10050521,Royal Oak Exch via Royal Oak Ctr,18715,10050521,0
28-VIC,4455,11086351:10000622:10051351,Majestic via Shelbourne,26525,10051351,0
28-VIC,4450,11086351:10000622:10052425,Majestic via Shelbourne,26525,10052425,0
70-VIC,4462,11332292:10000627:10049433,Downtown via Hwy 17,36539,10049433,1
95-VIC,4455,11088186:10000632:10049135,Blink - to Langford,18836,10049135,1
95-VIC,4450,11088186:10000632:10049571,Blink - to Langford,18836,10049571,1
95-VIC,4430,11316827:10000633:10049615,Blink - to Langford,18836,10049615,1
95-VIC,4457,11320904:10000634:10052492,Blink - to Langford,18836,10052492,1
70-VIC,4459,11315856:10000635:10052372,Swartz Bay Ferry via Hwy 17,40393,10052372,0
12-VIC,4457,11322695:10000636:11183812,University Hgts via Kenmore,18817,11183812,1
4-VIC,4461,11261401:10000641:11184184,Downtown via Hillside,26927,11184184,1
95-VIC,4459,11323699:10000645:10052219,Blink - to Langford,18836,10052219,1
6-VIC,4445,11036193:10000647:11184141,Downtown,18962,11184141,1
52-VIC,4439,11027645:10000648:10050486,Colwood Exch via Royal Bay/RRU,39966,10050486,0
52-VIC,4444,11027645:10000648:10052077,Colwood Exch via Royal Bay/RRU,39966,10052077,0
4-VIC,4444,11001504:10000649:11184678,UVic via Hillside,18645,11184678,0
28-VIC,4445,11035693:10000653:10050592,Majestic via Shelbourne,26525,10050592,0
72-VIC,4461,11260494:10000654:10048961,Downtown via Saanichton,18716,10048961,1
27-VIC,4460,11328571:10000655:10049278,Downtown,36309,10049278,1
10-VIC,4459,11324973:10000656:10051669,Royal Jubilee via Vic West,18521,10051669,0
15-VIC,4460,11329213:10000659:11184039,UVic - Fort/Foul Bay Express,19054,11184039,0
4-VIC,4462,11332920:10000660:10052891,Downtown via Hillside,26927,10052891,1
8-VIC,4461,11260995:10000661:11183757,Tillicum Ctr via Finlayson,26916,11183757,1
52-VIC,4445,11037266:10000663:10051417,Bear Mountain via Millstream,40065,10051417,1
52-VIC,4462,11333612:10000665:10050716,Colwood Exch via Royal Bay,26436,10050716,0
4-VIC,4444,11001408:10000669:10048965,UVic via Hillside,18645,10048965,0
4-VIC,4439,11001408:10000669:10050063,UVic via Hillside,18645,10050063,0
28-VIC,4455,11086236:10000670:10050215,Majestic via Shelbourne,26525,10050215,0
28-VIC,4450,11086236:10000670:10052419,Majestic via Shelbourne,26525,10052419,0
88-VIC,4450,11085494:10000672:10049554,Sidney,19277,10049554,0
88-VIC,4455,11085494:10000672:10049647,Sidney,19277,10049647,0
5-VIC,3240,11313672:10000674:10052874,Willows,23383,10052874,0
30-VIC,4461,11261569:10000675:10048881,Royal Oak Exch via Carey,18634,10048881,0
